director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,combination,title,comb
Nicolas Pesce,Andrea Riseborough,Demián Bichir,John Cho,Horror Mystery,,Andrea Riseborough Demián Bichir John Cho Nicolas Pesce Horror Mystery,the grudge,
William Eubank,Kristen Stewart,Vincent Cassel,Jessica Henwick,Action Horror Science Fiction Thriller,,Kristen Stewart Vincent Cassel Jessica Henwick William Eubank Action Horror Science Fiction Thriller,underwater,
Miguel Arteta,Tiffany Haddish,Rose Byrne,Salma Hayek,Comedy,,Tiffany Haddish Rose Byrne Salma Hayek Miguel Arteta Comedy,like a boss,
Anthony Jerjen,Josh Hartnett,Margarita Levieva,Chandler Riggs,Drama Thriller Crime,,Josh Hartnett Margarita Levieva Chandler Riggs Anthony Jerjen Drama Thriller Crime,inherit the viper,
Andrew Desmond,Freya Tingley,Simon Abkarian,Rutger Hauer,Horror Thriller Mystery,,Freya Tingley Simon Abkarian Rutger Hauer Andrew Desmond Horror Thriller Mystery,the sonata,
Daniel Farrands,Mena Suvari,Nick Stahl,Taryn Manning,Thriller Drama Crime,,Mena Suvari Nick Stahl Taryn Manning Daniel Farrands Thriller Drama Crime,the murder of nicole brown simpson,
Adil El Arbi and Bilall Fallah,Will Smith,Martin Lawrence,Vanessa Hudgens,Thriller Action Crime,,Will Smith Martin Lawrence Vanessa Hudgens Adil El Arbi and Bilall Fallah Thriller Action Crime,bad boys for life,
Stephen Gaghan,Robert Downey Jr.,Antonio Banderas,Michael Sheen,Comedy Fantasy Adventure Family,,Robert Downey Jr. Antonio Banderas Michael Sheen Stephen Gaghan Comedy Fantasy Adventure Family,dolittle,
Guy Ritchie,Matthew McConaughey,Charlie Hunnam,Henry Golding,Action Crime Comedy,,Matthew McConaughey Charlie Hunnam Henry Golding Guy Ritchie Action Crime Comedy,the gentlemen,
Floria Sigismondi,Mackenzie Davis,Finn Wolfhard,Brooklynn Prince,Horror Thriller,,Mackenzie Davis Finn Wolfhard Brooklynn Prince Floria Sigismondi Horror Thriller,the turning,
Todd Robinson,Sebastian Stan,Christopher Plummer,William Hurt,Drama War,,Sebastian Stan Christopher Plummer William Hurt Todd Robinson Drama War,the last full measure,
David Bruckner,Rebecca Hall,Sarah Goldberg,Stacy Martin,Horror Thriller,,Rebecca Hall Sarah Goldberg Stacy Martin David Bruckner Horror Thriller,the night house,
Will Forbes,Terry Crews,Ludacris,Jamila Velazquez,Drama Thriller,,Terry Crews Ludacris Jamila Velazquez Will Forbes Drama Thriller,john henry,
Reed Morano,Blake Lively,Jude Law,Sterling K. Brown,Action Thriller,,Blake Lively Jude Law Sterling K. Brown Reed Morano Action Thriller,the rhythm section,
Oz Perkins,Sophia Lillis,Sammy Leakey,Charles Babalola,Horror Fantasy Thriller,,Sophia Lillis Sammy Leakey Charles Babalola Oz Perkins Horror Fantasy Thriller,gretel & hansel,
Cathy Yan,Margot Robbie,Mary Elizabeth Winstead,Jurnee Smollett-Bell,Action Crime Comedy,,Margot Robbie Mary Elizabeth Winstead Jurnee Smollett-Bell Cathy Yan Action Crime Comedy,birds of prey,
"Veronika Franz, Severin Fiala (directors/screenplay); Sergio Casci (screenplay); Riley Keough, Jaeden Martell, Lia McHugh, Richard Armitage, Alicia Silverstone",Riley Keough,Jaeden Martell,Lia McHugh,Drama Horror Thriller,,"Riley Keough Jaeden Martell Lia McHugh Veronika Franz, Severin Fiala (directors/screenplay); Sergio Casci (screenplay); Riley Keough, Jaeden Martell, Lia McHugh, Richard Armitage, Alicia Silverstone Drama Horror Thriller",the lodge,
Tom McCarthy,Winslow Fegley,Ophelia Lovibond,Craig Robinson,Family Mystery Comedy Fantasy,,Winslow Fegley Ophelia Lovibond Craig Robinson Tom McCarthy Family Mystery Comedy Fantasy,timmy failure: mistakes were made,
Jeff Baena,Alison Brie,Debby Ryan,John Paul Reynolds,Drama Mystery Thriller Science Fiction,,Alison Brie Debby Ryan John Paul Reynolds Jeff Baena Drama Mystery Thriller Science Fiction,horse girl,
Michael Fimognari,Lana Condor,Noah Centineo,Jordan Fisher,Romance Comedy,,Lana Condor Noah Centineo Jordan Fisher Michael Fimognari Romance Comedy,to all the boys: p.s. i still love you,
Jeff Fowler,James Marsden,Ben Schwartz,Tika Sumpter,Action Science Fiction Comedy Family,,James Marsden Ben Schwartz Tika Sumpter Jeff Fowler Action Science Fiction Comedy Family,sonic the hedgehog,
Jeff Wadlow,Michael Peña,Maggie Q,Lucy Hale,Adventure Fantasy Horror Mystery,,Michael Peña Maggie Q Lucy Hale Jeff Wadlow Adventure Fantasy Horror Mystery,fantasy island,
Stella Meghie,Issa Rae,Lakeith Stanfield,Chelsea Peretti,Drama Romance,,Issa Rae Lakeith Stanfield Chelsea Peretti Stella Meghie Drama Romance,the photograph,
"Nat Faxon, Jim Rash",Julia Louis-Dreyfus,Will Ferrell,Miranda Otto,Drama Comedy,,"Julia Louis-Dreyfus Will Ferrell Miranda Otto Nat Faxon, Jim Rash Drama Comedy",downhill,
Chris Sanders,Harrison Ford,Dan Stevens,Omar Sy,Drama Adventure Family,,Harrison Ford Dan Stevens Omar Sy Chris Sanders Drama Adventure Family,the call of the wild,
Autumn de Wilde,Anya Taylor-Joy,Johnny Flynn,Josh O'Connor,Comedy Drama Romance,,Anya Taylor-Joy Johnny Flynn Josh O'Connor Autumn de Wilde Comedy Drama Romance,emma.,
"Dee Rees (director, screenplay); Marco Villalobos (screenplay); Anne Hathaway, Ben Affleck, Rosie Perez, Edi Gathegi, Mel Rodriguez, Toby Jones, Willem Dafoe",Anne Hathaway,Ben Affleck,Rosie Perez,Drama Thriller,,"Anne Hathaway Ben Affleck Rosie Perez Dee Rees (director, screenplay); Marco Villalobos (screenplay); Anne Hathaway, Ben Affleck, Rosie Perez, Edi Gathegi, Mel Rodriguez, Toby Jones, Willem Dafoe Drama Thriller",the last thing he wanted,
William Brent Bell,Katie Holmes,Owain Yeoman,Christopher Convery,Horror Mystery Thriller,,Katie Holmes Owain Yeoman Christopher Convery William Brent Bell Horror Mystery Thriller,brahms: the boy ii,
Michael Cristofer,Tye Sheridan,Ana de Armas,Helen Hunt,Crime Drama Thriller,,Tye Sheridan Ana de Armas Helen Hunt Michael Cristofer Crime Drama Thriller,the night clerk,
Chris Henchy,Brian Quinn,Joe Gatto,Sal Vulcano,Comedy,,Brian Quinn Joe Gatto Sal Vulcano Chris Henchy Comedy,impractical jokers: the movie,
Leigh Whannell,Elisabeth Moss,Aldis Hodge,Storm Reid,Thriller Science Fiction Horror,,Elisabeth Moss Aldis Hodge Storm Reid Leigh Whannell Thriller Science Fiction Horror,the invisible man,
Brett Haley,Elle Fanning,Justice Smith,Alexandra Shipp,Drama Romance,,Elle Fanning Justice Smith Alexandra Shipp Brett Haley Drama Romance,all the bright places,
Jason Lei Howden,Daniel Radcliffe,Samara Weaving,Natasha Liu Bordizzo,Comedy Action,,Daniel Radcliffe Samara Weaving Natasha Liu Bordizzo Jason Lei Howden Comedy Action,guns akimbo,
Dan Scanlon,Tom Holland,Chris Pratt,Julia Louis-Dreyfus,Animation Family Adventure Comedy Fantasy,,Tom Holland Chris Pratt Julia Louis-Dreyfus Dan Scanlon Animation Family Adventure Comedy Fantasy,onward,
Gavin O'Connor,Ben Affleck,Al Madrigal,Michaela Watkins,Drama,,Ben Affleck Al Madrigal Michaela Watkins Gavin O'Connor Drama,the way back,
Peter Berg,Mark Wahlberg,Winston Duke,Alan Arkin,Comedy Action Thriller,,Mark Wahlberg Winston Duke Alan Arkin Peter Berg Comedy Action Thriller,spenser confidential,
George Nolfi,Anthony Mackie,Nicholas Hoult,Nia Long,Drama,,Anthony Mackie Nicholas Hoult Nia Long George Nolfi Drama,the banker,
Giuseppe Capotondi,Claes Bang,Elizabeth Debicki,Mick Jagger,Thriller Drama Mystery,,Claes Bang Elizabeth Debicki Mick Jagger Giuseppe Capotondi Thriller Drama Mystery,the burnt orange heresy,
Carlo Mirabella-Davis,Haley Bennett,Austin Stowell,Elizabeth Marvel,Drama Thriller,,Haley Bennett Austin Stowell Elizabeth Marvel Carlo Mirabella-Davis Drama Thriller,swallow,
Kelly Reichardt,John Magaro,Orion Hall,René Auberjonois,Drama History,,John Magaro Orion Hall René Auberjonois Kelly Reichardt Drama History,first cow,
Dave S. F. Wilson,Vin Diesel,Eiza González,Sam Heughan,Action Science Fiction,,Vin Diesel Eiza González Sam Heughan Dave S. F. Wilson Action Science Fiction,bloodshot,
Craig Zobel,Betty Gilpin,Ike Barinholtz,Amy Madigan,Action Thriller Horror,,Betty Gilpin Ike Barinholtz Amy Madigan Craig Zobel Action Thriller Horror,the hunt,
Erwin Brothers,KJ Apa,Britt Robertson,Shania Twain,Drama Music,,KJ Apa Britt Robertson Shania Twain Erwin Brothers Drama Music,i still believe,
Liz Garbus,Amy Ryan,Thomasin McKenzie,Lola Kirke,Drama Thriller,,Amy Ryan Thomasin McKenzie Lola Kirke Liz Garbus Drama Thriller,lost girls,
Julia Hart,Grace VanderWaal,Graham Verchere,Giancarlo Esposito,Comedy Drama Romance,,Grace VanderWaal Graham Verchere Giancarlo Esposito Julia Hart Comedy Drama Romance,stargirl,
Sally Potter,Javier Bardem,Elle Fanning,Laura Linney,Drama,,Javier Bardem Elle Fanning Laura Linney Sally Potter Drama,the roads not taken,
Eliza Hittman,Sidney Flanigan,Talia Ryder,Theodore Pellerin,Drama,,Sidney Flanigan Talia Ryder Theodore Pellerin Eliza Hittman Drama,never rarely sometimes always,
Katharine O'Brien,Simon Pegg,Juno Temple,Alexandra Daddario,Drama,,Simon Pegg Juno Temple Alexandra Daddario Katharine O'Brien Drama,lost transmissions,
Jonathan Jakubowicz,Jesse Eisenberg,Ed Harris,Clémence Poésy,Drama History War,,Jesse Eisenberg Ed Harris Clémence Poésy Jonathan Jakubowicz Drama History War,resistance,
Prentice Penny,Mamoudou Athie,Courtney B. Vance,Niecy Nash,Drama Comedy,,Mamoudou Athie Courtney B. Vance Niecy Nash Prentice Penny Drama Comedy,uncorked,
